Repository,Ontology,CreationDate,Format,Filename,Length,URL
data.bioontology.org,HRAVS,20240509,SKOS,hravs-20240509-skos__skos-valueset-2024-05-09T130503.ttl,278216,https://data.bioontology.org/ontologies/HRAVS/submissions/90
data.bioontology.org,AFPO,20240507,OWL,afpo-20240507-owl__afpo.owl,1369705,https://data.bioontology.org/ontologies/AFPO/submissions/1
data.bioontology.org,PROCO,20240508,OWL,proco-20240508-owl__proco.owl,1418368,https://data.bioontology.org/ontologies/PROCO/submissions/1
data.bioontology.org,NGBO,20240508,OWL,ngbo-20240508-owl__ngbo.owl,1415764,https://data.bioontology.org/ontologies/NGBO/submissions/2
data.bioontology.org,GALLONT,20240507,OWL,gallont-20240507-owl__gallont.owl,1072074,https://data.bioontology.org/ontologies/GALLONT/submissions/1
data.bioontology.org,MCRO,20240507,OWL,mcro-20240507-owl__mcro.owl,62715,https://data.bioontology.org/ontologies/MCRO/submissions/1
data.bioontology.org,T4FS,20240508,OWL,t4fs-20240508-owl__t4fs.owl,824414,https://data.bioontology.org/ontologies/T4FS/submissions/1
data.bioontology.org,ADO,20240507,OWL,ado-20240507-owl__ado.owl,5491455,https://data.bioontology.org/ontologies/ADO/submissions/4
data.bioontology.org,MAXO,20240509,OWL,maxo-20240509-owl__maxo.owl,42175653,https://data.bioontology.org/ontologies/MAXO/submissions/53
data.bioontology.org,MONDO,20240509,OBO,mondo-20240509-obo__mondo.obo,35680948,https://data.bioontology.org/ontologies/MONDO/submissions/63
data.bioontology.org,GO,20240430,OBO,go-20240430-obo__go.obo,34555426,https://data.bioontology.org/ontologies/GO/submissions/1822
data.bioontology.org,SBO,20231023,OWL,sbo-20231023-owl__SBO-OWL.owl,582599,https://data.bioontology.org/ontologies/SBO/submissions/663
data.bioontology.org,FOODON,20240411,OWL,foodon-20240411-owl__foodon.owl,36413240,https://data.bioontology.org/ontologies/FOODON/submissions/102
data.bioontology.org,SO,20240411,OWL,so-20240411-owl__so.owl,5287726,https://data.bioontology.org/ontologies/SO/submissions/308
data.bioontology.org,DDPHENO,20231214,OBO,ddpheno-20231214-obo__dicty-phenotypes.obo,371992,https://data.bioontology.org/ontologies/DDPHENO/submissions/507
data.bioontology.org,TTO,20180122,OWL,tto-20180122-owl__tto.owl,70851141,https://data.bioontology.org/ontologies/TTO/submissions/44
data.bioontology.org,MI,20230816,OBO,mi-20230816-obo__psi-mi.obo,730880,https://data.bioontology.org/ontologies/MI/submissions/65
data.bioontology.org,PATO,20240328,OWL,pato-20240328-owl__pato.owl,23924940,https://data.bioontology.org/ontologies/PATO/submissions/203
data.bioontology.org,PTO,20230718,OWL,pto-20230718-owl__to-basic.obo,617488,https://data.bioontology.org/ontologies/PTO/submissions/437
data.bioontology.org,BAO,20240221,OWL,bao-20240221-owl__bao-complete.owl,1668381,https://data.bioontology.org/ontologies/BAO/submissions/56
data.bioontology.org,MESH,20240131,UMLS,mesh-20240131-umls__MESH.ttl,805893968,https://data.bioontology.org/ontologies/MESH/submissions/27
data.bioontology.org,VT,20240423,OBO,vt-20240423-obo__VT-2024-04-23.obo,1576676,https://data.bioontology.org/ontologies/VT/submissions/137
data.bioontology.org,PO,20240418,OBO,po-20240418-obo__po.obo,1335592,https://data.bioontology.org/ontologies/PO/submissions/28
